t: 0.454536
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|        0     1.96     1.95     1.94     1.93     1.93     1.93     1.93     1.93     1.93     1.93     1.93     1.93     1.93     1.93     1.93     1.93     1.94     1.94     1.96        0
       20|        0   0.0403   0.0577   0.0659   0.0703   0.0729   0.0746   0.0756   0.0763   0.0767   0.0768   0.0768   0.0765   0.0759    0.075   0.0736   0.0712   0.0672   0.0592   0.0417        0
       19|        0  -0.0156   -0.016  -0.0137  -0.0114 -0.00976 -0.00856 -0.00774  -0.0072 -0.00689 -0.00678 -0.00686 -0.00713 -0.00763 -0.00841 -0.00957  -0.0112  -0.0134  -0.0157  -0.0152        0
       18|        0  -0.0079   -0.011  -0.0113  -0.0108    -0.01 -0.00937 -0.00884 -0.00847 -0.00826 -0.00819 -0.00826 -0.00848 -0.00887 -0.00943  -0.0102   -0.011  -0.0118  -0.0117 -0.00889        0
       17|        0 -0.00442 -0.00717 -0.00836 -0.00865 -0.00854 -0.00829 -0.00803 -0.00783 -0.00771 -0.00767 -0.00772 -0.00786 -0.00808 -0.00838 -0.00868 -0.00888 -0.00871 -0.00764 -0.00486        0
       16|        0  -0.0028 -0.00495 -0.00625 -0.00689 -0.00715 -0.00719 -0.00715 -0.00709 -0.00704 -0.00703 -0.00706 -0.00712 -0.00721 -0.00728 -0.00728 -0.00708 -0.00649 -0.00522   -0.003        0
       15|        0 -0.00193  -0.0036 -0.00478 -0.00553 -0.00596 -0.00618 -0.00629 -0.00633 -0.00635 -0.00635 -0.00636 -0.00636 -0.00634 -0.00626 -0.00607 -0.00567 -0.00494 -0.00375 -0.00204        0
       14|        0 -0.00142 -0.00273 -0.00375 -0.00449 -0.00498  -0.0053 -0.00549  -0.0056 -0.00566 -0.00568 -0.00567 -0.00563 -0.00554 -0.00536 -0.00507 -0.00459 -0.00386 -0.00282 -0.00148        0
       13|        0  -0.0011 -0.00214 -0.00301 -0.00369 -0.00418 -0.00453 -0.00477 -0.00492   -0.005 -0.00503 -0.00501 -0.00494 -0.00481 -0.00459 -0.00425 -0.00376 -0.00308  -0.0022 -0.00113        0
       12|        0-0.000873 -0.00172 -0.00246 -0.00306 -0.00353 -0.00389 -0.00414  -0.0043  -0.0044 -0.00443 -0.00441 -0.00432 -0.00417 -0.00393 -0.00358 -0.00311 -0.00251 -0.00176-0.000895        0
       11|        0-0.000712 -0.00141 -0.00204 -0.00257 -0.00301 -0.00334 -0.00359 -0.00376 -0.00386 -0.00389 -0.00387 -0.00377 -0.00361 -0.00337 -0.00304 -0.00261 -0.00207 -0.00144-0.000726        0
       10|        0-0.000591 -0.00118 -0.00172 -0.00218 -0.00257 -0.00288 -0.00312 -0.00328 -0.00338 -0.00342 -0.00339  -0.0033 -0.00314 -0.00291  -0.0026 -0.00221 -0.00174  -0.0012-0.000601        0
        9|        0-0.000499-0.000999 -0.00146 -0.00187 -0.00222  -0.0025 -0.00272 -0.00287 -0.00297   -0.003 -0.00297 -0.00288 -0.00273 -0.00252 -0.00224 -0.00189 -0.00148 -0.00101-0.000506        0
        8|        0-0.000427-0.000858 -0.00126 -0.00162 -0.00193 -0.00218 -0.00238 -0.00253 -0.00261 -0.00264 -0.00262 -0.00254  -0.0024  -0.0022 -0.00194 -0.00163 -0.00127-0.000867-0.000432        0
        7|        0-0.000371-0.000746  -0.0011 -0.00142 -0.00169 -0.00192 -0.00211 -0.00224 -0.00232 -0.00234 -0.00232 -0.00224 -0.00211 -0.00193  -0.0017 -0.00143 -0.00111-0.000753-0.000375        0
        6|        0-0.000327-0.000658 -0.00097 -0.00125  -0.0015 -0.00171 -0.00188   -0.002 -0.00207  -0.0021 -0.00207   -0.002 -0.00188 -0.00172 -0.00151 -0.00126-0.000976-0.000663-0.000329        0
        5|        0-0.000293 -0.00059 -0.00087 -0.00113 -0.00135 -0.00154  -0.0017 -0.00181 -0.00187  -0.0019 -0.00188 -0.00181  -0.0017 -0.00155 -0.00136 -0.00113-0.000875-0.000593-0.000295        0
        4|        0-0.000267-0.000538-0.000795 -0.00103 -0.00124 -0.00141 -0.00156 -0.00166 -0.00172 -0.00174 -0.00172 -0.00166 -0.00156 -0.00142 -0.00124 -0.00103-0.000798-0.000541-0.000268        0
        3|        0-0.000248-0.000501 -0.00074 -0.00096 -0.00116 -0.00132 -0.00145 -0.00155 -0.00161 -0.00163 -0.00161 -0.00155 -0.00146 -0.00132 -0.00116-0.000963-0.000743-0.000503-0.000249        0
        2|        0-0.000236-0.000477-0.000705-0.000914  -0.0011 -0.00126 -0.00139 -0.00148 -0.00154 -0.00156 -0.00154 -0.00148 -0.00139 -0.00126  -0.0011-0.000917-0.000707-0.000478-0.000237        0
        1|        0-0.000221-0.000446-0.000659-0.000856 -0.00103 -0.00118  -0.0013 -0.00139 -0.00144 -0.00146 -0.00144 -0.00139  -0.0013 -0.00118 -0.00103-0.000858-0.000661-0.000447-0.000222        0
        0|        0  0.00021 0.000423 0.000626 0.000812 0.000978  0.00112  0.00123  0.00131  0.00137  0.00138  0.00137  0.00132  0.00123  0.00112  0.00098 0.000814 0.000628 0.000425 0.000211        0

v (22x21): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
