nCells: 16x16, dx: 0.125, dy: 0.125

p (18x18): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       17|    -8.29    -8.29    -8.29    -8.29    -8.29    -8.29    -8.28    -8.28    -8.28    -8.28    -8.28    -8.28    -8.27    -8.27    -8.27    -8.26    -8.24    -8.24
       16|    -8.29    -8.29    -8.29    -8.29    -8.29    -8.29    -8.28    -8.28    -8.28    -8.28    -8.28    -8.28    -8.27    -8.27    -8.27    -8.26    -8.24    -8.24
       15|    -7.06    -7.06    -7.06    -7.06    -7.06    -7.06    -7.06    -7.06    -7.05    -7.05    -7.05    -7.05    -7.05    -7.05    -7.04    -7.04    -7.03    -7.03
       14|    -5.83    -5.83    -5.83    -5.83    -5.83    -5.83    -5.83    -5.83    -5.83    -5.83    -5.83    -5.82    -5.82    -5.82    -5.82    -5.81    -5.81    -5.81
       13|    -4.61    -4.61    -4.61    -4.61    -4.61     -4.6     -4.6     -4.6     -4.6     -4.6     -4.6     -4.6     -4.6    -4.59    -4.59    -4.59    -4.59    -4.59
       12|    -3.38    -3.38    -3.38    -3.38    -3.38    -3.38    -3.38    -3.38    -3.37    -3.37    -3.37    -3.37    -3.37    -3.37    -3.37    -3.37    -3.36    -3.36
       11|    -2.15    -2.15    -2.15    -2.15    -2.15    -2.15    -2.15    -2.15    -2.15    -2.15    -2.15    -2.14    -2.14    -2.14    -2.14    -2.14    -2.14    -2.14
       10|   -0.924   -0.924   -0.924   -0.924   -0.924   -0.923   -0.923   -0.922   -0.921    -0.92    -0.92   -0.919   -0.918   -0.917   -0.916   -0.916   -0.915   -0.915
        9|    0.303    0.303    0.303    0.303    0.303    0.304    0.304    0.305    0.305    0.306    0.307    0.307    0.308    0.309    0.309     0.31     0.31     0.31
        8|     1.53     1.53     1.53     1.53     1.53     1.53     1.53     1.53     1.53     1.53     1.53     1.53     1.53     1.53     1.54     1.54     1.54     1.54
        7|     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76     2.76
        6|     3.98     3.98     3.98     3.98     3.98     3.98     3.98     3.98     3.98     3.98     3.99     3.99     3.99     3.99     3.99     3.99     3.99     3.99
        5|     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21     5.21
        4|     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44     6.44
        3|     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.66     7.67     7.67
        2|     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89     8.89
        1|     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1
        0|     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1     10.1

